"date","health","avg"
"30/01/2020","L",0.5317213942537
"30/03/2020","L",30.1720742167064
"31/01/2020","L",0.461782802181081
"31/03/2020","L",32.7400691104181
"4/02/2020","L",0.624192905738103
"4/03/2020","L",4.10923777190428
"4/04/2020","L",46.4637751286204
"5/02/2020","L",0.789889432884081
"5/03/2020","L",4.20656440398454
"5/04/2020","L",51.3280434163746
"6/02/2020","L",0.900292416751172
"6/03/2020","L",4.04779305468834
"6/04/2020","L",56.1009457220187
"7/02/2020","L",0.960024944341952
"7/03/2020","L",4.19786601953615
"7/04/2020","L",62.2859471568964
"8/02/2020","L",1.08463120068071
"8/03/2020","L",4.60117325060724
"8/04/2020","L",67.9302313628115
"9/01/2020","L",0.0144033020203627
"9/02/2020","L",1.27103986896227
"9/03/2020","L",5.35098127656505
