"date","smoke","avg"
"4/02/2020","L",0.648402475430302
"4/03/2020","L",3.17496859608031
"4/04/2020","L",68.8044857012991
"5/02/2020","L",0.836917841757637
"5/03/2020","L",3.71336970512377
"5/04/2020","L",73.6165835741382
"6/02/2020","L",0.961820192801436
"6/03/2020","L",4.06212836552672
"6/04/2020","L",77.4131874996344
"7/02/2020","L",1.03660197744522
"7/03/2020","L",4.36468556028623
"7/04/2020","L",83.6318463917646
"8/02/2020","L",1.12527527592876
"8/03/2020","L",4.91095961754445
"8/04/2020","L",88.6245256417777
"9/02/2020","L",1.33217963905703
"9/03/2020","L",5.25472148337047
"9/04/2020","L",93.5408512658973
"1/02/2020","M",0.119269350111851
"1/03/2020","M",6.14025829050337
"1/04/2020","M",149.857986603019
"10/01/2020","M",0.0144033020203627
"10/02/2020","M",0.216329618929522
